Location Names,Pan de Azucar Pte. R-9,Pan de Azucar Pte. R-9
Location Ids,71.0,71.0
Time,H.obs,Q.obs
2022-08-31 09:00:00,0.84,4.43
2022-08-31 09:30:00,0.84,4.43
2022-08-31 10:00:00,0.84,4.43
2022-08-31 10:30:00,0.84,4.43
2022-08-31 11:00:00,0.84,4.43
2022-08-31 11:30:00,0.84,4.43
2022-08-31 12:00:00,0.84,4.43
2022-08-31 12:30:00,0.84,4.43
2022-08-31 13:00:00,0.84,4.43
2022-08-31 13:30:00,0.84,4.43
2022-08-31 14:00:00,0.84,4.43
2022-08-31 14:30:00,0.85,4.61
2022-08-31 15:00:00,0.84,4.43
2022-08-31 15:30:00,0.85,4.61
2022-08-31 16:00:00,0.84,4.43
2022-08-31 16:30:00,0.84,4.43
2022-08-31 17:00:00,0.84,4.43
2022-08-31 17:30:00,0.84,4.43
2022-08-31 18:00:00,0.84,4.43
2022-08-31 18:30:00,0.84,4.43
2022-08-31 19:00:00,0.84,4.43
2022-08-31 19:30:00,0.84,4.43
2022-08-31 20:00:00,0.84,4.43
2022-08-31 20:30:00,0.84,4.43
2022-08-31 21:00:00,0.84,4.43
2022-08-31 21:30:00,0.84,4.43
2022-08-31 22:00:00,0.84,4.43
2022-08-31 22:30:00,0.84,4.43
2022-08-31 23:00:00,0.84,4.43
2022-08-31 23:30:00,0.84,4.43
2022-09-01 00:00:00,0.83,4.25
2022-09-01 00:30:00,0.83,4.25
2022-09-01 01:00:00,0.83,4.25
2022-09-01 01:30:00,0.83,4.25
2022-09-01 02:00:00,0.83,4.25
2022-09-01 02:30:00,0.83,4.25
2022-09-01 03:00:00,0.83,4.25
2022-09-01 03:30:00,0.83,4.25
2022-09-01 04:00:00,0.83,4.25
2022-09-01 04:30:00,0.82,4.08
2022-09-01 05:00:00,0.83,4.25
2022-09-01 05:30:00,0.83,4.25
2022-09-01 06:00:00,0.82,4.08
2022-09-01 06:30:00,0.82,4.08
2022-09-01 07:00:00,0.82,4.08
2022-09-01 07:30:00,0.82,4.08
2022-09-01 08:00:00,0.82,4.08
2022-09-01 08:30:00,0.82,4.08
2022-09-01 09:00:00,0.82,4.08
2022-09-01 09:30:00,0.82,4.08
2022-09-01 10:00:00,0.82,4.08
2022-09-01 10:30:00,0.82,4.08
2022-09-01 11:00:00,0.82,4.08
2022-09-01 11:30:00,0.81,3.91
2022-09-01 12:00:00,0.82,4.08
2022-09-01 12:30:00,0.81,3.91
2022-09-01 13:00:00,0.81,3.91
2022-09-01 13:30:00,0.81,3.91
2022-09-01 14:00:00,0.81,3.91
2022-09-01 14:30:00,0.82,4.08
2022-09-01 15:00:00,0.82,4.08
2022-09-01 15:30:00,0.82,4.08
2022-09-01 16:00:00,0.81,3.91
2022-09-01 16:30:00,0.82,4.08
2022-09-01 17:00:00,0.82,4.08
2022-09-01 17:30:00,0.82,4.08
2022-09-01 18:00:00,0.82,4.08
2022-09-01 18:30:00,0.82,4.08
2022-09-01 19:00:00,0.82,4.08
2022-09-01 19:30:00,0.82,4.08
2022-09-01 20:00:00,0.82,4.08
2022-09-01 20:30:00,0.82,4.08
2022-09-01 21:00:00,0.83,4.25
2022-09-01 21:30:00,0.83,4.25
2022-09-01 22:00:00,0.83,4.25
2022-09-01 22:30:00,0.83,4.25
2022-09-01 23:00:00,0.84,4.43
2022-09-01 23:30:00,0.84,4.43
2022-09-02 00:00:00,0.84,4.43
2022-09-02 00:30:00,0.85,4.61
2022-09-02 01:00:00,0.85,4.61
2022-09-02 01:30:00,0.86,4.8
