Location Names,Po. de la Compañía,Po. de la Compañía
Location Ids,61.0,61.0
Time,H.obs,Q.obs
2022-08-17 05:00:00,0.63,3.13
2022-08-17 05:30:00,0.62,2.92
2022-08-17 06:00:00,0.62,2.92
2022-08-17 06:30:00,0.62,2.92
2022-08-17 07:00:00,0.62,2.92
2022-08-17 07:30:00,0.62,2.92
2022-08-17 08:00:00,0.62,2.92
2022-08-17 08:30:00,0.62,2.92
2022-08-17 09:00:00,0.62,2.92
2022-08-17 09:30:00,0.62,2.92
2022-08-17 10:00:00,0.62,2.92
2022-08-17 10:30:00,0.62,2.92
2022-08-17 11:00:00,0.62,2.92
2022-08-17 11:30:00,0.62,2.92
2022-08-17 12:00:00,0.62,2.92
2022-08-17 12:30:00,0.62,2.92
2022-08-17 13:00:00,0.62,2.92
2022-08-17 13:30:00,0.62,2.92
2022-08-17 14:00:00,0.62,2.92
2022-08-17 14:30:00,0.62,2.92
2022-08-17 15:00:00,0.62,2.92
2022-08-17 15:30:00,0.62,2.92
2022-08-17 16:00:00,0.62,2.92
2022-08-17 16:30:00,0.62,2.92
2022-08-17 17:00:00,0.62,2.92
2022-08-17 17:30:00,0.62,2.92
2022-08-17 18:00:00,0.62,2.92
2022-08-17 18:30:00,0.62,2.92
2022-08-17 19:00:00,0.62,2.92
2022-08-17 19:30:00,0.62,2.92
2022-08-17 20:00:00,0.62,2.92
2022-08-17 20:30:00,0.62,2.92
2022-08-17 21:00:00,0.61,2.73
2022-08-17 21:30:00,0.62,2.92
2022-08-17 22:00:00,0.61,2.73
2022-08-17 22:30:00,0.61,2.73
2022-08-17 23:00:00,0.61,2.73
2022-08-17 23:30:00,0.61,2.73
2022-08-18 00:00:00,0.61,2.73
2022-08-18 00:30:00,0.61,2.73
2022-08-18 01:00:00,0.61,2.73
2022-08-18 01:30:00,0.61,2.73
2022-08-18 02:00:00,0.61,2.73
2022-08-18 02:30:00,0.61,2.73
2022-08-18 03:00:00,0.61,2.73
2022-08-18 03:30:00,0.61,2.73
2022-08-18 04:00:00,0.61,2.73
2022-08-18 04:30:00,0.61,2.73
2022-08-18 05:00:00,0.61,2.73
2022-08-18 05:30:00,0.61,2.73
2022-08-18 06:00:00,0.61,2.73
2022-08-18 06:30:00,0.6,2.54
2022-08-18 07:00:00,0.6,2.54
2022-08-18 07:30:00,0.6,2.54
2022-08-18 08:00:00,0.6,2.54
2022-08-18 08:30:00,0.6,2.54
2022-08-18 09:00:00,0.6,2.54
2022-08-18 09:30:00,0.6,2.54
2022-08-18 10:00:00,0.6,2.54
2022-08-18 10:30:00,0.6,2.54
2022-08-18 11:00:00,0.6,2.54
2022-08-18 11:30:00,0.6,2.54
2022-08-18 12:00:00,0.6,2.54
2022-08-18 12:30:00,0.6,2.54
2022-08-18 13:00:00,0.6,2.54
2022-08-18 13:30:00,0.6,2.54
2022-08-18 14:00:00,0.6,2.54
2022-08-18 14:30:00,0.6,2.54
2022-08-18 15:00:00,0.6,2.54
2022-08-18 15:30:00,0.6,2.54
2022-08-18 16:00:00,0.6,2.54
2022-08-18 16:30:00,0.6,2.54
2022-08-18 17:00:00,0.6,2.54
2022-08-18 17:30:00,0.6,2.54
2022-08-18 18:00:00,0.6,2.54
2022-08-18 18:30:00,0.59,2.36
2022-08-18 19:00:00,0.59,2.36
2022-08-18 19:30:00,0.59,2.36
2022-08-18 20:00:00,0.59,2.36
2022-08-18 20:30:00,0.59,2.36
2022-08-18 21:00:00,0.59,2.36
2022-08-18 21:30:00,0.59,2.36
2022-08-18 22:00:00,0.59,2.36
2022-08-18 22:30:00,0.59,2.36
2022-08-18 23:00:00,0.59,2.36
2022-08-18 23:30:00,0.59,2.36
2022-08-19 00:00:00,0.59,2.36
