Location Names,Paso de los Troncos
Location Ids,119.0
Time,Q.obs
2021-12-04 07:00:00,0.389
2021-12-04 19:00:00,0.229
2021-12-05 07:00:00,0.229
2021-12-05 19:00:00,2.307
2021-12-06 07:00:00,0.229
2021-12-06 19:00:00,2.307
2021-12-07 07:00:00,2.307
2021-12-07 19:00:00,2.307
2021-12-08 07:00:00,2.307
2021-12-08 19:00:00,2.307
2021-12-09 07:00:00,2.307
2021-12-09 19:00:00,2.307
2021-12-10 07:00:00,2.307
2021-12-10 13:00:00,2.307
2021-12-10 19:00:00,2.307
2021-12-11 07:00:00,2.307
2021-12-11 13:00:00,2.307
2021-12-11 19:00:00,2.307
2021-12-12 07:00:00,2.307
2021-12-13 07:00:00,2.307
2021-12-14 07:00:00,2.307
2021-12-15 07:00:00,2.307
2021-12-15 19:00:00,2.307
2021-12-16 07:00:00,2.307
2021-12-16 19:00:00,2.307
2021-12-17 07:00:00,2.307
2021-12-18 07:00:00,2.307
2021-12-18 19:00:00,2.307
2021-12-19 07:00:00,2.307
2021-12-19 19:00:00,2.307
2021-12-20 07:00:00,2.307
2021-12-20 13:00:00,2.307
2021-12-20 19:00:00,2.307
2021-12-21 07:00:00,2.307
2021-12-21 19:00:00,2.307
2021-12-22 07:00:00,2.307
2021-12-22 13:00:00,2.307
2021-12-23 07:00:00,2.307
2021-12-23 13:00:00,2.307
2021-12-23 19:00:00,2.307
2021-12-24 07:00:00,2.307
2021-12-24 19:00:00,2.307
2021-12-25 07:00:00,2.307
2021-12-25 13:00:00,2.307
2021-12-25 19:00:00,2.307
2021-12-26 07:00:00,2.307
2021-12-26 19:00:00,2.307
2021-12-27 07:00:00,2.307
2021-12-27 19:00:00,2.307
2021-12-28 07:00:00,2.307
2021-12-28 19:00:00,2.307
2021-12-29 07:00:00,2.307
2021-12-29 19:00:00,2.307
2021-12-30 07:00:00,2.307
2021-12-30 19:00:00,2.307
2021-12-31 19:00:00,2.307
2022-01-01 07:00:00,0.123
2022-01-01 13:00:00,0.123
2022-01-01 19:00:00,0.123
2022-01-02 07:00:00,0.123
2022-01-02 13:00:00,0.123
2022-01-02 19:00:00,0.123
2022-01-03 07:00:00,0.123
2022-01-03 13:00:00,0.123
2022-01-03 19:00:00,0.123
2022-01-04 07:00:00,0.123
2022-01-04 13:00:00,0.123
2022-01-04 19:00:00,0.123
2022-01-05 07:00:00,0.123
2022-01-05 13:00:00,0.123
2022-01-05 19:00:00,0.123
2022-01-06 07:00:00,0.123
2022-01-06 13:00:00,0.123
2022-01-06 19:00:00,0.123
2022-01-07 07:00:00,0.123
2022-01-07 13:00:00,0.229
2022-01-07 19:00:00,0.229
2022-01-08 07:00:00,0.229
2022-01-08 13:00:00,0.123
2022-01-08 19:00:00,0.123
2022-01-09 07:00:00,0.123
2022-01-09 13:00:00,0.123
2022-01-09 19:00:00,0.123
2022-01-10 07:00:00,0.123
2022-01-10 13:00:00,0.123
2022-01-10 19:00:00,0.123
2022-01-11 07:00:00,0.123
2022-01-11 13:00:00,0.123
2022-01-11 19:00:00,0.123
2022-01-12 07:00:00,0.123
2022-01-12 13:00:00,0.123
2022-01-12 19:00:00,0.123
2022-01-13 07:00:00,0.123
2022-01-13 13:00:00,0.123
2022-01-13 19:00:00,0.123
2022-01-14 07:00:00,0.123
2022-01-14 13:00:00,0.123
2022-01-14 19:00:00,0.123
2022-01-15 07:00:00,0.123
2022-01-15 13:00:00,0.123
2022-01-15 19:00:00,0.123
2022-01-16 07:00:00,0.123
2022-01-16 13:00:00,0.229
2022-01-16 19:00:00,0.229
2022-01-17 07:00:00,0.389
2022-01-17 13:00:00,0.614
2022-01-17 19:00:00,0.870
2022-01-18 07:00:00,0.870
2022-01-18 13:00:00,1.355
2022-01-18 19:00:00,1.959
2022-01-19 07:00:00,1.959
2022-01-19 13:00:00,1.642
2022-01-19 19:00:00,1.355
2022-01-20 07:00:00,1.098
2022-01-20 13:00:00,0.870
2022-01-20 19:00:00,0.614
2022-01-21 07:00:00,0.614
2022-01-21 13:00:00,0.389
2022-01-21 19:00:00,0.229
2022-01-22 07:00:00,5.648
2022-01-22 13:00:00,5.071
2022-01-22 19:00:00,4.528
2022-01-23 07:00:00,17.466
2022-01-23 13:00:00,20.768
2022-01-23 19:00:00,24.317
2022-01-24 07:00:00,68.611
2022-01-24 13:00:00,57.317
2022-01-24 19:00:00,45.521
2022-01-25 07:00:00,14.416
2022-01-25 13:00:00,10.327
2022-01-25 19:00:00,6.846
2022-01-26 07:00:00,22.512
2022-01-26 13:00:00,26.273
2022-01-26 19:00:00,36.572
2022-01-27 07:00:00,72.621
2022-01-27 13:00:00,64.723
2022-01-27 19:00:00,57.317
2022-01-28 07:00:00,21.632
2022-01-28 13:00:00,16.679
2022-01-28 19:00:00,12.297
2022-01-29 07:00:00,10.327
2022-01-29 13:00:00,9.098
2022-01-29 19:00:00,8.509
2022-01-30 07:00:00,7.383
2022-01-30 13:00:00,6.846
2022-01-30 19:00:00,6.259
2022-01-31 07:00:00,5.648
2022-01-31 13:00:00,5.071
2022-01-31 19:00:00,4.528
2022-02-01 07:00:00,3.099
2022-02-01 13:00:00,2.687
2022-02-01 19:00:00,2.307
2022-02-02 07:00:00,2.307
2022-02-02 13:00:00,1.959
2022-02-02 19:00:00,1.642
2022-02-03 07:00:00,1.642
2022-02-03 13:00:00,1.355
2022-02-03 19:00:00,1.355
2022-02-04 07:00:00,1.098
2022-02-04 13:00:00,1.098
2022-02-04 19:00:00,1.098
2022-02-05 07:00:00,1.098
2022-02-05 13:00:00,1.098
2022-02-05 19:00:00,1.098
2022-02-06 07:00:00,1.098
2022-02-06 13:00:00,0.870
2022-02-06 19:00:00,0.870
2022-02-07 07:00:00,0.870
2022-02-07 13:00:00,0.614
2022-02-07 19:00:00,0.614
2022-02-08 07:00:00,0.614
2022-02-08 13:00:00,0.614
2022-02-08 19:00:00,0.614
2022-02-09 07:00:00,0.614
2022-02-09 13:00:00,0.614
2022-02-09 19:00:00,0.614
2022-02-10 07:00:00,0.614
2022-02-10 13:00:00,0.614
2022-02-10 19:00:00,0.614
2022-02-11 07:00:00,0.389
2022-02-11 13:00:00,0.389
2022-02-11 19:00:00,0.389
2022-02-12 07:00:00,0.389
2022-02-12 13:00:00,0.614
2022-02-12 19:00:00,0.614
2022-02-13 07:00:00,0.614
2022-02-13 13:00:00,0.614
2022-02-13 19:00:00,0.614
2022-02-14 07:00:00,0.614
2022-02-14 13:00:00,0.614
2022-02-14 19:00:00,0.614
2022-02-15 07:00:00,0.389
2022-02-15 13:00:00,0.614
2022-02-15 19:00:00,0.389
2022-02-16 07:00:00,0.389
2022-02-16 13:00:00,0.389
2022-02-16 19:00:00,0.389
2022-02-17 07:00:00,0.229
2022-02-17 13:00:00,0.389
2022-02-17 19:00:00,0.389
2022-02-18 07:00:00,0.229
2022-02-18 13:00:00,0.229
2022-02-18 19:00:00,0.229
2022-02-19 07:00:00,0.229
2022-02-19 13:00:00,0.229
2022-02-19 19:00:00,0.229
2022-02-20 07:00:00,0.229
2022-02-20 13:00:00,0.123
2022-02-20 19:00:00,0.123
2022-02-21 07:00:00,0.229
2022-02-21 13:00:00,0.229
2022-02-21 19:00:00,0.229
2022-02-22 07:00:00,0.229
2022-02-22 13:00:00,0.123
2022-02-22 19:00:00,0.123
2022-02-23 07:00:00,0.229
2022-02-23 13:00:00,0.229
2022-02-23 19:00:00,0.229
2022-02-24 07:00:00,0.123
2022-02-24 13:00:00,0.123
2022-02-24 19:00:00,0.123
2022-02-25 07:00:00,0.123
2022-02-25 13:00:00,0.123
2022-02-25 19:00:00,0.123
2022-02-26 07:00:00,0.123
2022-02-26 13:00:00,0.123
2022-02-26 19:00:00,0.123
2022-02-27 07:00:00,7.383
2022-02-27 13:00:00,9.098
2022-02-27 19:00:00,10.327
2022-02-28 07:00:00,14.416
2022-02-28 13:00:00,20.768
2022-02-28 19:00:00,28.675
2022-03-01 07:00:00,9.704
2022-03-01 13:00:00,6.259
2022-03-01 19:00:00,3.099
2022-03-02 07:00:00,2.307
2022-03-02 13:00:00,1.959
2022-03-02 19:00:00,1.959
2022-03-03 07:00:00,1.642
2022-03-03 13:00:00,1.355
2022-03-03 19:00:00,1.355
2022-03-04 07:00:00,1.098
2022-03-04 13:00:00,1.098
2022-03-04 19:00:00,0.870
2022-03-05 07:00:00,0.870
2022-03-05 13:00:00,0.870
2022-03-05 19:00:00,0.614
2022-03-06 07:00:00,17.466
2022-03-06 13:00:00,22.512
2022-03-06 19:00:00,28.675
2022-03-07 07:00:00,10.327
2022-03-07 13:00:00,6.846
2022-03-07 19:00:00,5.648
2022-03-08 07:00:00,4.019
2022-03-08 13:00:00,3.099
2022-03-08 19:00:00,2.687
2022-03-09 07:00:00,1.642
2022-03-09 13:00:00,1.098
2022-03-09 19:00:00,0.870
2022-03-10 07:00:00,1.098
2022-03-10 13:00:00,1.098
2022-03-10 19:00:00,1.098
2022-03-11 07:00:00,1.098
2022-03-11 13:00:00,1.098
2022-03-11 19:00:00,1.098
2022-03-12 07:00:00,0.870
2022-03-12 13:00:00,0.870
2022-03-12 19:00:00,0.614
2022-03-13 07:00:00,0.614
2022-03-13 13:00:00,0.614
2022-03-13 19:00:00,0.614
2022-03-14 07:00:00,0.614
2022-03-14 13:00:00,0.389
2022-03-14 19:00:00,0.389
2022-03-15 07:00:00,0.389
2022-03-15 13:00:00,0.229
2022-03-15 19:00:00,0.229
2022-03-16 07:00:00,0.389
2022-03-16 13:00:00,0.614
2022-03-16 19:00:00,0.614
2022-03-17 07:00:00,0.389
2022-03-17 13:00:00,0.389
2022-03-17 19:00:00,0.389
2022-03-18 07:00:00,0.389
2022-03-18 13:00:00,0.229
2022-03-18 19:00:00,0.229
2022-03-19 07:00:00,0.389
2022-03-19 13:00:00,0.389
2022-03-19 19:00:00,0.389
2022-03-20 07:00:00,0.229
2022-03-20 13:00:00,0.229
2022-03-20 19:00:00,0.229
2022-03-21 07:00:00,0.229
2022-03-21 13:00:00,0.229
2022-03-21 19:00:00,0.229
2022-03-22 07:00:00,0.229
2022-03-22 13:00:00,0.229
