Lookout			
Dag	P[mm/d]	T[C]	Q[mm/d]
19520626	0	15.15	1.802987426
19520627	0	14.2	1.842182805
19520628	0	16.45	2.234136593
19520629	46.72584	17.81111111	3.409997957
19520630	14.08176	14.13888889	3.527584094
19520701	0	15.4	2.900458033
19520702	0	16.65	2.547699623
19520703	0	18.4	2.273331972
19520704	0	20.20555556	2.116550456
19520705	0	17.83888889	1.881378183
19520706	0	15.55	1.685401289
19520707	0	18.25	1.528619774
19520708	0	21.6	1.450229016
19520709	0	25.4	1.371838259
19520710	0	20.4	1.254252122
19520711	0	19.9	1.254252122
19520712	0	18.9	1.175861365
19520713	0	20.5	1.136665986
19520714	0	21	1.136665986
19520715	0	20.75	1.058275228
19520716	0	19.25	1.019079849
19520717	0	17.95	1.019079849
19520718	0	16.1	0.940689092
19520719	0	14.05	0.940689092
19520720	0	14.05	0.940689092
19520721	0	15.8	0.940689092
19520722	0	17.6	0.940689092
19520723	0	13.35	0.901493713
19520724	0	17.3	0.901493713
19520725	0	23.75	0.901493713
19520726	0	20.19444444	0.862298334
19520727	0	19.36666667	0.862298334
19520728	0	16.65	0.823102955
19520729	0	19.7	0.823102955
19520730	0	19.95	0.823102955
19520731	0	20.65	0.823102955
19520801	0	20.65	0.823102955
19520802	0	25.3	0.783907576
19520803	0	21.7	0.783907576
19520804	0	20.5	0.783907576
19520805	0	16.4	0.783907576
19520806	0	17.6	0.744712198
19520807	0	17.35	0.744712198
19520808	0	15.5	0.744712198
19520809	0	20.75555556	0.744712198
19520810	0	20.31111111	0.744712198
19520811	0	20	0.705516819
19520812	0	21.25	0.705516819
19520813	0	17.75	0.705516819
19520814	0	16.75	0.705516819
19520815	0	15.95	0.705516819
19520816	0	16.25	0.705516819
19520817	0	15.88888889	0.705516819
19520818	0	14.45	0.705516819
19520819	0	13.25	0.705516819
19520820	0	16.15	0.66632144
19520821	0	15.3	0.66632144
19520822	0	16.3	0.66632144
19520823	0	19.5	0.66632144
19520824	0	15.86666667	0.66632144
19520825	0	14.6	0.66632144
19520826	0	13.15	0.66632144
19520827	0	13.8	0.66632144
19520828	0	16.4	0.627126061
19520829	0	15.05	0.627126061
19520830	0	15.29444444	0.627126061
19520831	0	15.85	0.587930682
19520901	0	19	0.587930682
19520902	0	20.3	0.627126061
19520903	0	20.15	0.587930682
19520904	0	16.25	0.587930682
19520905	0	15.15	0.66632144
19520906	0	16.53888889	0.627126061
19520907	0	14.75555556	0.627126061
19520908	20.16252	8.85	0.823102955
19520909	12.48156	11.25	0.940689092
19520910	0	11.5	0.744712198
19520911	0	11.85	0.705516819
19520912	0.64008	13.64444444	0.705516819
19520913	0	12	0.66632144
19520914	0	14.6	0.627126061
19520915	0	16.97777778	0.627126061
19520916	0	15.6	0.627126061
19520917	0	17.7	0.587930682
19520918	0	18.5	0.587930682
19520919	0	20.05	0.587930682
19520920	0	18.3	0.548735303
19520921	0	17.8	0.548735303
19520922	0	18.3	0.548735303
19520923	0	17.65	0.548735303
19520924	0	18.65	0.548735303
19520925	0	20.45	0.548735303
19520926	0	15.75	0.509539925
19520927	0	11	0.509539925
19520928	0	12.05	0.470344546
19520929	0	13	0.470344546
19520930	0	14.3	0.470344546
19521001	0	18	0.391953788
19521002	0	16.9	0.391953788
19521003	0	16.1	0.391953788
19521004	0	14.4	0.391953788
19521005	0	16.7	0.352758409
19521006	0	17.75	0.352758409
19521007	0	14.55	0.352758409
19521008	0	13.35	0.352758409
19521009	0	13.3	0.352758409
19521010	0	13.9	0.352758409
19521011	0	13.8	0.352758409
19521012	0	13.8	0.352758409
19521013	0	12.25	0.352758409
19521014	0	12.4	0.352758409
19521015	0	12.55	0.352758409
19521016	0	12.55	0.352758409
19521017	0	14.9	0.313563031
19521018	0	10.85	0.313563031
19521019	0	13.75	0.313563031
19521020	0	13.4	0.313563031
19521021	0	11.65	0.313563031
19521022	0	10.9	0.313563031
19521023	0	8	0.313563031
19521024	3.2004	10.25	0.352758409
19521025	0	9.9	0.352758409
19521026	0	7.8	0.352758409
19521027	0	9.4	0.313563031
19521028	0	7.55	0.313563031
19521029	0	6.05	0.313563031
19521030	1.92024	8.6	0.352758409
19521031	0	15.8	0.352758409
19521101	0	5.85	0.352758409
19521102	0	5	0.352758409
19521103	0	6	0.352758409
19521104	0	6	0.352758409
19521105	0	8	0.313563031
19521106	0	6.75	0.313563031
19521107	0	6.5	0.274367652
19521108	0	7.05	0.274367652
19521109	0	3.85	0.274367652
19521110	2.88036	7.1	0.313563031
19521111	8.001	6.6	0.431149167
19521112	12.48156	5.5	0.744712198
19521113	28.8036	4	1.097470607
19521114	9.92124	3.45	1.019079849
19521115	0	2.3	0.744712198
19521116	0	1.25	0.470344546
19521117	0	3.55	0.391953788
19521118	0	1.55	0.352758409
19521119	0	2.8	0.352758409
19521120	0	4.1	0.352758409
19521121	0	4.35	0.313563031
19521122	0	4.8	0.274367652
19521123	0	1.1	0.274367652
19521124	0	0.3	0.274367652
19521125	0	-0.2	0.274367652
19521126	0	0	0.235172273
19521127	0	-2.35	0.235172273
19521128	0	-3.1	0.235172273
19521129	0	-3.022222222	0.235172273
19521130	0	-3.855555556	0.235172273
19521201	38.4048	3.33E-02	0.823102955
19521202	22.4028	3.033333333	1.293447501
19521203	9.6012	3.5	1.058275228
19521204	18.88236	4.2	1.99896432
19521205	20.8026	5.311111111	1.881378183
19521206	0.64008	1.7	1.64620591
19521207	0	3.366666667	4.350687049
19521208	116.8146	3.644444444	2.939653412
19521209	10.88136	0.85	2.077355078
19521210	39.04488	3.088888889	5.565743793
19521211	16.64208	5.033333333	7.760685007
19521212	1.6002	5.8	9.250109402
19521213	0	2.3	6.31045599
19521214	0	1.75	4.742640837
19521215	0	-0.4	3.919537882
19521216	0	2.45	3.292411821
19521217	0	1.1	2.900458033
19521218	0	1.35	2.547699623
19521219	0	3.922222222	2.390918108
19521220	0	3.5	2.234136593
19521221	50.88636	2.811111111	2.234136593
19521222	0	2.255555556	2.743676517
19521223	0	-0.4	2.66528576
19521224	0	1.144444444	2.234136593
19521225	0	0.588888889	1.920573562
19521226	0	2.811111111	1.763792047
19521227	0	2.255555556	1.685401289
19521228	0	3.922222222	1.64620591
19521229	43.2054	1.977777778	3.488388715
19521230	0	1.4	4.821031595
19521231	6.08076	5.866666667	4.115514776
19530101	25.6032	3.75	4.350687049
19530102	0	4.25	13.52240569
19530103	39.36492	5	11.79780903
19530104	0	3.55	8.544592583
19530105	0	-1.7	6.780800536
19530106	2.56032	0.35	5.64413455
19530107	31.04388	3.2	6.6632144
19530108	29.76372	6.35	12.54252122
19530109	56.007	7.1	36.25572541
19530110	0	3.75	22.92929661
19530111	53.44668	5.5	17.12838054
19530112	21.44268	6	27.43676517
19530113	26.24328	6.5	27.43676517
19530114	7.68096	3.7	19.59768941
19530115	4.16052	4.75	14.18872713
19530116	65.92824	4.75	31.90503836
19530117	53.12664	5.5	70.55168188
19530118	122.57532	9.2	110.9229221
19530119	24.96312	3.95	56.04939171
19530120	40.96512	6.144444444	44.29077807
19530121	6.4008	3.7	28.37745427
19530122	22.4028	5.866666667	21.94941214
19530123	0	5.8	18.61780494
19530124	0	5.55	13.63999183
19530125	0	4	11.56263675
19530126	44.8056	2.811111111	9.798844705
19530127	0	2.255555556	8.074248037
19530128	21.12264	1.35	8.30942031
19530129	0	4.5	12.5817166
19530130	34.56432	8.088888889	16.54044986
19530131	21.76272	4.5	19.7936663
19530201	0	5.05	21.55745835
19530202	44.16552	3.7	22.53734282
19530203	67.2084	6.7	44.29077807
19530204	23.36292	4.45	30.49400472
19530205	55.04688	5.311111111	30.49400472
19530206	26.24328	3.4	38.72503428
19530207	0	8.366666667	30.96434927
19530208	42.88536	4.755555556	24.69308866
19530209	0	3.55	16.89320827
19530210	0	3.3	11.99378592
19530211	0	4.3	9.054132508
19530212	0	2.55	7.447121976
19530213	0	5.311111111	6.31045599
19530214	0	2.45	5.64413455
19530215	29.12364	5.033333333	5.134594626
19530216	15.04188	4.477777778	6.97677743
19530217	56.64708	2.305555556	20.77355078
19530218	46.08576	0.6	12.42493509
19530219	0	1.65	8.662178719
19530220	0	2.15	7.015972809
19530221	0	1.65	5.918502202
19530222	7.36092	2.3	5.487353035
19530223	0	2.8	4.860226974
19530224	0	2.85	4.468273186
19530225	0	3.9	4.115514776
19530226	0	3.85	3.919537882
19530227	0	1.5	3.958733261
19530228	0	0.7	4.115514776
19530301	0	1.55	3.919537882
19530302	5.44068	2.25	3.684365609
19530303	1.28016	5.65	3.527584094
19530304	0	5.45	3.3316072
19530305	0	5.5	3.135630306
19530306	0	5.5	3.018044169
19530307	0	8.1	3.096434927
19530308	0	9.4	3.684365609
19530309	0	8.05	4.389882428
19530310	0	5.25	4.781836216
19530311	9.28116	6.35	5.056203868
19530312	24.32304	4	5.487353035
19530313	0	1.5	5.056203868
19530314	0	2.8	4.703445459
19530315	0	4	4.703445459
19530316	35.84448	6.422222222	6.31045599
19530317	19.84248	2.45	6.506432884
19530318	16.002	5.033333333	6.31045599
19530319	4.8006	2.65	6.388846748
19530320	24.64308	2.4	6.192869854
19530321	0	3.644444444	6.702409778
19530322	75.84948	2.4	10.58275228
19530323	0	8.8	12.5817166
19530324	8.64108	5.6	12.89527963
19530325	2.88036	5.35	11.99378592
19530326	0	5.65	9.524477053
19530327	0	5.95	7.995857279
19530328	0	2.4	7.211949703
19530329	0	3	6.388846748
19530330	20.16252	3.45	6.31045599
19530331	0	4.25	5.99689296
19530401	0	5.45	5.565743793
19530402	0	8.1	5.056203868
19530403	0	7.25	4.781836216
19530404	0	5.65	4.703445459
19530405	0	5.1	4.860226974
19530406	9.28116	6.088888889	4.97781311
19530407	10.88136	3	4.781836216
19530408	0	3.2	4.389882428
19530409	0	3.3	4.037124019
19530410	0	5.35	3.841147124
19530411	0	4	3.566779473
19530412	0	3.5	3.684365609
19530413	32.96412	3.75	4.115514776
19530414	1.28016	6.85	4.115514776
19530415	0	6.5	3.958733261
19530416	5.12064	5.25	4.193905534
19530417	12.48156	7.35	5.056203868
19530418	0.64008	7.5	5.056203868
19530419	0	10.85	5.840111444
19530420	0	11.4	7.64309887
19530421	0	12.9	9.171718644
19530422	8.32104	7.9	10.30838463
19530423	0	8	10.19079849
19530424	0	11.5	8.30942031
19530425	16.96212	12.35	7.878271143
19530426	10.56132	8.35	8.544592583
19530427	0	7.55	11.01390145
19530428	4.48056	4.75	10.46516615
19530429	15.36192	1.9	8.936546371
19530430	14.72184	6.7	8.074248037
19530501	8.32104	6.7	7.094363567
19530502	0	6.977777778	6.584823642
19530503	0	12.75	6.114479096
19530504	0	17.6	7.015972809
19530505	0	11.85	8.662178719
19530506	0	19.75555556	9.054132508
19530507	0	15.03333333	8.936546371
19530508	0	8.644444444	7.878271143
19530509	0	7.533333333	6.819995915
19530510	48.96612	8.088888889	5.99689296
19530511	0	7.533333333	5.565743793
19530512	0	10.2	5.212985383
19530513	0	14.75555556	5.134594626
19530514	5.44068	8.85	5.369766898
19530515	7.68096	13.45	5.134594626
19530516	0	15.7	4.703445459
19530517	0	13.05	4.625054701
19530518	19.2024	14.47777778	6.584823642
19530519	25.92324	11.7	10.58275228
19530520	8.32104	8.7	9.406890917
19530521	24.32304	5.3	9.171718644
19530522	3.84048	7.1	8.427006446
19530523	0	10.03333333	8.779764856
19530524	0	6.144444444	8.427006446
19530525	0	7.255555556	7.525512734
19530526	34.24428	8.922222222	7.447121976
19530527	0	10.86666667	8.662178719
19530528	0	10.31111111	8.191834174
19530529	25.6032	12.25555556	7.878271143
19530530	0	10.03333333	7.015972809
19530531	0	8.922222222	6.31045599
19530601	5.76072	11.35	5.840111444
19530602	1.92024	11.25	5.487353035
19530603	0	9.3	4.97781311
19530604	3.2004	12.67222222	4.703445459
19530605	0	8.311111111	4.625054701
19530606	0	10.31111111	5.840111444
19530607	0	11.97777778	7.447121976
19530608	56.007	10.31111111	7.015972809
19530609	18.88236	9.9	6.388846748
19530610	1.92024	13.65	5.99689296
19530611	0	15.75	5.918502202
19530612	0.96012	17.78333333	5.722525308
19530613	0	11.7	5.134594626
19530614	0	13.64444444	4.860226974
19530615	0	13.35	4.625054701
19530616	0	13.15	4.31149167
19530617	0	14.5	4.31149167
19530618	0	12.8	3.958733261
19530619	2.56032	12.67222222	3.64517023
19530620	0	13	3.370802579
19530621	0	13.35	3.253216442
19530622	0	12.55	3.096434927
19530623	0	12.85	2.900458033
19530624	0	11.15	2.704481139
19530625	0	11.35	2.586895002
19530626	0	14.9	2.508504245
19530627	0	13.36666667	2.31252735
19530628	0	13.5	2.273331972
19530629	6.4008	12.95	2.234136593
19530630	0	13.64444444	2.194941214
19530701	0	14.25	2.077355078
19530702	0	16.3	2.077355078
19530703	0	15.75	2.038159699
19530704	0	15.05	1.920573562
19530705	0	16.14444444	1.842182805
19530706	0	20.16111111	1.802987426
19530707	0	19.65	1.685401289
19530708	0.64008	18.6	1.607010532
19530709	0	15.3	1.450229016
19530710	0	18.65	1.371838259
19530711	0	18.4	1.254252122
19530712	0	17.35	1.215056743
19530713	0	17.6	1.175861365
19530714	0	16.75	1.097470607
19530715	0	17.5	1.097470607
19530716	0	18.2	1.058275228
19530717	0	18.75	1.019079849
19530718	0	18	1.019079849
19530719	0	14.5	0.979884471
19530720	0	14.8	0.940689092
19530721	0	18.2	0.940689092
